SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate,,,,,
71774,110562,1,836,$356.90,0.00%,$356.90,E3A1994C-7A68-4CE8-96A3-77FDD3BBD730,6/1/2008,,,,,
71774,110563,1,822,$356.90,0.00%,$356.90,5C77F557-FDB6-43BA-90B9-9A7AEC55CA32,6/1/2008,,,,,
71776,110567,1,907,$63.90,0.00%,$63.90,6DBFE398-D15D-425E-AA58-88178FE360E5,6/1/2008,,,,,
71780,110616,4,905,$218.45,0.00%,$873.82,377246C9-4483-48ED-A5B9-E56F005364E0,6/1/2008,,,,,
71780,110617,2,983,$461.69,0.00%,$923.39,43A54BCD-536D-4A1B-8E69-24D083507A14,6/1/2008,,,,,
71780,110618,6,988,$113.00,40.00%,$406.79,12706FAB-F3A2-48C6-B7C7-1CCDE4081F18,6/1/2008,,,,,
71780,110619,2,748,$818.70,0.00%,"$1,637.40",B12F0D3B-5B4E-4F1F-B2F0-F7CDE99DD826,6/1/2008,,,,,
71780,110620,1,990,$323.99,0.00%,$323.99,F117A449-039D-44B8-A4B2-B12001DACC01,6/1/2008,,,,,
71780,110621,1,926,$149.87,0.00%,$149.87,92E5052B-72D0-4C91-9A8C-42591803667E,6/1/2008,,,,,
71780,110622,1,743,$809.76,0.00%,$809.76,8BD33BED-C4F6-4D44-84FB-A7D04AFCD794,6/1/2008,,,,,
71780,110623,4,782,"$1,376.99",0.00%,"$5,507.98",686999FB-42E6-4D00-9A14-83FFA86833E3,6/1/2008,,,,,
71780,110624,2,918,$158.43,0.00%,$316.86,82940B03-C70B-4183-8660-6B3418908429,6/1/2008,,,,,
71780,110625,4,780,"$1,391.99",0.00%,"$5,567.98",644B0CD6-B2C3-4E4D-AB43-091C2EF6C829,6/1/2008,,,,,
71780,110626,1,937,$48.59,0.00%,$48.59,7F5FEB17-8EF4-4236-9F1C-15046D9638F0,6/1/2008,,,,,
71780,110627,6,867,$41.99,0.00%,$251.96,AC78838D-B503-41A5-9791-480E528F028C,6/1/2008,,,,,
71780,110628,1,985,$113.00,40.00%,$67.80,2C10A282-A13D-442A-8F45-F4D6B23A7D9C,6/1/2008,,,,,
71780,110629,2,989,$323.99,0.00%,$647.99,654FB79E-70DF-4B92-9832-9FA67013215B,6/1/2008,,,,,
71780,110630,3,991,$323.99,0.00%,$971.98,3D6CA7AB-055E-4536-8940-76234CC9BCDE,6/1/2008,,,,,
71780,110631,1,992,$323.99,0.00%,$323.99,560FEEE1-DD54-4C34-ABB1-4F8841D0AA41,6/1/2008,,,,,
71780,110632,2,993,$323.99,0.00%,$647.99,19570052-4023-4658-BC56-DC5C619BD00E,6/1/2008,,,,,
71780,110633,2,984,$113.00,40.00%,$135.60,27562675-F8C3-4A38-BD9E-B366B83E5204,6/1/2008,,,,,
71780,110634,3,986,$113.00,40.00%,$203.40,E193CE39-EF33-4969-87B1-468D2F7B48AD,6/1/2008,,,,,
71780,110635,3,987,$113.00,40.00%,$203.40,E38E076F-5072-437A-A771-ADA53B5AB803,6/1/2008,,,,,
71780,110636,2,981,$461.69,0.00%,$923.39,26C00B7D-6E19-4FBF-B9F1-23C2609E8893,6/1/2008,,,,,
71780,110637,3,982,$461.69,0.00%,"$1,385.08",6666A81B-90A1-4204-A39E-9F660CA43E5F,6/1/2008,,,,,
71780,110638,5,783,"$1,376.99",0.00%,"$6,884.97",332DCF9E-DFD2-4345-9015-F4B53AC396EE,6/1/2008,,,,,
71780,110639,3,809,$37.15,0.00%,$111.46,C2B08405-A9BE-4F71-906C-5D7B1E26BDE4,6/1/2008,,,,,
71780,110640,1,810,$72.16,0.00%,$72.16,351A29FB-CEB1-4CA6-BB36-506D87B82A95,6/1/2008,,,,,
71780,110641,2,935,$24.29,0.00%,$48.59,1918CFD2-69E8-4593-B4D6-8677F18B8F62,6/1/2008,,,,,
71780,110642,1,925,$149.87,0.00%,$149.87,21624302-CA0F-402F-8A46-5A3FFFA7D5F3,6/1/2008,,,,,
71780,110643,7,869,$41.99,0.00%,$293.96,169C75F6-A364-46E3-8DDB-033528177458,6/1/2008,,,,,
71780,110644,1,880,$32.99,0.00%,$32.99,C3FBB3EC-3FF6-4EE1-88CF-230E128815F3,6/1/2008,,,,,
71782,110667,3,714,$29.99,0.00%,$89.98,E3B48EC1-8E67-4EF8-8EE0-8898167A3598,6/1/2008,,,,,
71782,110668,3,956,"$1,430.44",0.00%,"$4,291.33",8F00F4BC-CFD1-473F-9FCE-191B7EB5F1AD,6/1/2008,,,,,
71782,110669,1,954,"$1,430.44",0.00%,"$1,430.44",8D3B14C1-DF49-4919-942C-3BB379D7BE42,6/1/2008,,,,,
71782,110670,10,712,$5.39,0.00%,$53.94,A7873B73-B47E-4A06-AFA4-805342A35E02,6/1/2008,,,,,
71782,110671,10,877,$4.77,0.00%,$47.70,E7CB4BBF-3E8D-4C6E-8C87-C3D5A038266B,6/1/2008,,,,,
71782,110672,4,996,$72.89,0.00%,$291.58,C4D69D25-2F3F-4978-B765-8255D489DB8D,6/1/2008,,,,,
71782,110673,6,864,$38.10,0.00%,$228.60,C216D216-86CD-4E33-A713-6A97D344FA91,6/1/2008,,,,,
71782,110674,3,876,$72.00,0.00%,$216.00,FD409A4F-DAB6-4499-81D2-07620F4ABA08,6/1/2008,,,,,
71782,110675,4,959,$445.41,0.00%,"$1,781.64",CACD0B0C-270A-42BB-A48E-34A69248B19A,6/1/2008,,,,,
71782,110676,4,971,$728.91,0.00%,"$2,915.64",5EDF45B8-D4FB-4714-957D-9666EA22F415,6/1/2008,,,,,
71782,110677,6,870,$2.99,0.00%,$17.96,DC88BD9D-3DE5-49A7-B874-BADA950AB284,6/1/2008,,,,,
71782,110678,1,978,$445.41,0.00%,$445.41,8BD27F52-34F9-498D-A838-366179F7075D,6/1/2008,,,,,
71782,110679,1,955,"$1,430.44",0.00%,"$1,430.44",1D44BF7E-9C42-4CA1-AFD6-E6DDF9D85BC5,6/1/2008,,,,,
71782,110680,1,948,$63.90,0.00%,$63.90,083CDD70-A4DF-44FD-863A-19B03DEEFBA4,6/1/2008,,,,,
71782,110681,1,994,$32.39,0.00%,$32.39,8ED3D829-95AD-4BED-8894-9B76D20981B9,6/1/2008,,,,,
71782,110682,1,970,$728.91,0.00%,$728.91,74E94A04-5C2B-4821-8FC7-069204B0BA4A,6/1/2008,,,,,
71782,110683,2,966,"$1,430.44",0.00%,"$2,860.88",4E0A7F8E-58DA-4B23-8856-980FD461CFF8,6/1/2008,,,,,
71782,110684,4,884,$32.39,0.00%,$129.58,5324B298-176E-4E92-9FC6-ED0C4DB55235,6/1/2008,,,,,
71782,110685,2,885,$602.35,0.00%,"$1,204.69",598385DD-EA19-409E-8F17-03AB651165D0,6/1/2008,,,,,
71782,110686,8,715,$29.99,0.00%,$239.95,4A23F5C7-D0C5-4703-8E42-69E9A280E9EF,6/1/2008,,,,,
71782,110687,3,894,$72.88,0.00%,$218.63,EAAAE38B-FB67-4509-ABBD-FBAC1CAE2054,6/1/2008,,,,,
71782,110688,1,957,"$1,430.44",0.00%,"$1,430.44",8D36D42E-5A61-4AA0-B8B7-A83DEEEB3DDE,6/1/2008,,,,,
71782,110689,2,967,"$1,430.44",0.00%,"$2,860.88",406724B4-4733-4372-A4AC-84F4F493AA7E,6/1/2008,,,,,
71782,110690,7,708,$20.99,0.00%,$146.96,4AA6F3DA-060B-4C22-B6B5-3A29C370AF8D,6/1/2008,,,,,
